State,Level,Name,TRU,TOT_P,TOT_M,TOT_F,P_LIT,M_LIT,F_LIT
6,DISTRICT,Rohtak,Rural,615040,332034,283006,412667,248850,163817
6,DISTRICT,Rohtak,Urban,446164,236445,209719,334915,187175,147740
6,DISTRICT,Jhajjar,Total,958405,514667,443738,676091,399480,276611
6,DISTRICT,Jhajjar,Rural,715066,384219,330847,496455,296833,199622
6,DISTRICT,Jhajjar,Urban,243339,130448,112891,179636,102647,76989
6,DISTRICT,Mahendragarh,Total,922088,486665,435423,630255,380440,249815
6,DISTRICT,Mahendragarh,Rural,789233,416358,372875,533442,324741,208701
6,DISTRICT,Mahendragarh,Urban,132855,70307,62548,96813,55699,41114
6,DISTRICT,Rewari,Total,900332,474335,425997,636947,375453,261494
6,DISTRICT,Rewari,Rural,666902,349710,317192,464452,276558,187894
6,DISTRICT,Rewari,Urban,233430,124625,108805,172495,98895,73600
6,DISTRICT,Gurgaon,Total,1514432,816690,697742,1111116,638666,472450
6,DISTRICT,Gurgaon,Rural,472179,251462,220717,324087,192288,131799
6,DISTRICT,Gurgaon,Urban,1042253,565228,477025,787029,446378,340651
6,DISTRICT,Mewat ,Total,1089263,571162,518101,454897,308435,146462
6,DISTRICT,Mewat ,Rural,965157,506086,459071,384749,266086,118663
6,DISTRICT,Mewat ,Urban,124106,65076,59030,70148,42349,27799
6,DISTRICT,Faridabad,Total,1809733,966110,843623,1272739,734940,537799
6,DISTRICT,Faridabad,Rural,370878,198103,172775,227022,139717,87305
6,DISTRICT,Faridabad,Urban,1438855,768007,670848,1045717,595223,450494
6,DISTRICT,Palwal ,Total,1042708,554497,488211,599796,379696,220100
6,DISTRICT,Palwal ,Rural,806164,428907,377257,441985,287360,154625
6,DISTRICT,Palwal ,Urban,236544,125590,110954,157811,92336,65475
7,STATE,NCT OF DELHI,Total,16787941,8987326,7800615,12737767,7194856,5542911
7,STATE,NCT OF DELHI,Rural,419042,226321,192721,296600,174327,122273
7,STATE,NCT OF DELHI,Urban,16368899,8761005,7607894,12441167,7020529,5420638
7,DISTRICT,North West,Total,3656539,1960922,1695617,2707855,1541952,1165903
7,DISTRICT,North West,Rural,213950,115680,98270,147327,87043,60284
7,DISTRICT,North West,Urban,3442589,1845242,1597347,2560528,1454909,1105619
7,DISTRICT,North,Total,887978,475002,412976,681517,381615,299902
7,DISTRICT,North,Rural,17746,9546,8200,13240,7700,5540
7,DISTRICT,North,Urban,870232,465456,404776,668277,373915,294362
7,DISTRICT,North East,Total,2241624,1188425,1053199,1611588,912481,699107
7,DISTRICT,North East,Rural,21527,11718,9809,14465,8515,5950
7,DISTRICT,North East,Urban,2220097,1176707,1043390,1597123,903966,693157
7,DISTRICT,East,Total,1709346,907500,801846,1352998,748382,604616
7,DISTRICT,East,Rural,3530,1861,1669,2986,1583,1403
7,DISTRICT,East,Urban,1705816,905639,800177,1350012,746799,603213
7,DISTRICT,New Delhi,Total,142004,77942,64062,114179,65678,48501
7,DISTRICT,New Delhi,Rural,0,0,0,0,0,0
7,DISTRICT,New Delhi,Urban,142004,77942,64062,114179,65678,48501
7,DISTRICT,Central,Total,582320,307821,274499,442360,240518,201842
7,DISTRICT,Central,Rural,0,0,0,0,0,0
7,DISTRICT,Central,Urban,582320,307821,274499,442360,240518,201842
7,DISTRICT,West,Total,2543243,1356240,1187003,1961179,1093933,867246
7,DISTRICT,West,Rural,6420,3355,3065,4448,2563,1885
7,DISTRICT,West,Urban,2536823,1352885,1183938,1956731,1091370,865361
7,DISTRICT,South West,Total,2292958,1246046,1046912,1787689,1025261,762428
7,DISTRICT,South West,Rural,143676,77342,66334,105998,61887,44111
7,DISTRICT,South West,Urban,2149282,1168704,980578,1681691,963374,718317
7,DISTRICT,South,Total,2731929,1467428,1264501,2078402,1185036,893366
7,DISTRICT,South,Rural,12193,6819,5374,8136,5036,3100
7,DISTRICT,South,Urban,2719736,1460609,1259127,2070266,1180000,890266
8,STATE,RAJASTHAN,Total,68548437,35550997,32997440,38275282,23688412,14586870
8,STATE,RAJASTHAN,Rural,51500352,26641747,24858605,26471786,16904589,9567197
8,STATE,RAJASTHAN,Urban,17048085,8909250,8138835,11803496,6783823,5019673
8,DISTRICT,Ganganagar ,Total,1969168,1043340,925828,1193343,710908,482435
8,DISTRICT,Ganganagar ,Rural,1433736,758269,675467,821372,496935,324437
8,DISTRICT,Ganganagar ,Urban,535432,285071,250361,371971,213973,157998
8,DISTRICT,Hanumangarh,Total,1774692,931184,843508,1034136,624281,409855
8,DISTRICT,Hanumangarh,Rural,1424228,746887,677341,802659,490362,312297
8,DISTRICT,Hanumangarh,Urban,350464,184297,166167,231477,133919,97558
8,DISTRICT,Bikaner,Total,2363937,1240801,1123136,1278801,782399,496402
8,DISTRICT,Bikaner,Rural,1563553,821434,742119,739204,471918,267286
8,DISTRICT,Bikaner,Urban,800384,419367,381017,539597,310481,229116
8,DISTRICT,Churu,Total,2039547,1051446,988101,1149269,696729,452540
8,DISTRICT,Churu,Rural,1463312,755028,708284,791499,486256,305243
8,DISTRICT,Churu,Urban,576235,296418,279817,357770,210473,147297
8,DISTRICT,Jhunjhunun,Total,2137045,1095896,1041149,1370360,815834,554526
8,DISTRICT,Jhunjhunun,Rural,1647966,842718,805248,1046549,625672,420877
8,DISTRICT,Jhunjhunun,Urban,489079,253178,235901,323811,190162,133649
8,DISTRICT,Alwar,Total,3674179,1939026,1735153,2182476,1359829,822647
8,DISTRICT,Alwar,Rural,3019728,1589508,1430220,1707998,1083730,624268
8,DISTRICT,Alwar,Urban,654451,349518,304933,474478,276099,198379
8,DISTRICT,Bharatpur,Total,2548462,1355726,1192736,1480869,943910,536959
8,DISTRICT,Bharatpur,Rural,2053363,1093357,960006,1143404,745044,398360
8,DISTRICT,Bharatpur,Urban,495099,262369,232730,337465,198866,138599
8,DISTRICT,Dhaulpur,Total,1206516,653647,552869,683098,435721,247377
8,DISTRICT,Dhaulpur,Rural,959066,520930,438136,530706,344607,186099
8,DISTRICT,Dhaulpur,Urban,247450,132717,114733,152392,91114,61278
8,DISTRICT,Karauli,Total,1458248,783639,674609,805849,531904,273945
8,DISTRICT,Karauli,Rural,1240143,668185,571958,671423,449812,221611
8,DISTRICT,Karauli,Urban,218105,115454,102651,134426,82092,52334
8,DISTRICT,Sawai Madhopur,Total,1335551,704031,631520,741748,486184,255564
8,DISTRICT,Sawai Madhopur,Rural,1069084,564592,504492,559632,378253,181379
8,DISTRICT,Sawai Madhopur,Urban,266467,139439,127028,182116,107931,74185
8,DISTRICT,Dausa,Total,1634409,857787,776622,938051,596935,341116
8,DISTRICT,Dausa,Rural,1432616,751900,680716,796783,513738,283045
8,DISTRICT,Dausa,Urban,201793,105887,95906,141268,83197,58071
8,DISTRICT,Jaipur,Total,6626178,3468507,3157671,4300965,2554793,1746172
8,DISTRICT,Jaipur,Rural,3154331,1642924,1511407,1807604,1142333,665271
8,DISTRICT,Jaipur,Urban,3471847,1825583,1646264,2493361,1412460,1080901
8,DISTRICT,Sikar,Total,2677333,1374990,1302343,1652117,995275,656842
8,DISTRICT,Sikar,Rural,2043427,1047469,995958,1240835,754783,486052
8,DISTRICT,Sikar,Urban,633906,327521,306385,411282,240492,170790
8,DISTRICT,Nagaur,Total,3307743,1696325,1611418,1758624,1102750,655874
8,DISTRICT,Nagaur,Rural,2670539,1368771,1301768,1375421,875237,500184
8,DISTRICT,Nagaur,Urban,637204,327554,309650,383203,227513,155690
8,DISTRICT,Jodhpur,Total,3687165,1923928,1763237,2031532,1265753,765779
8,DISTRICT,Jodhpur,Rural,2422551,1260328,1162223,1158340,765699,392641
8,DISTRICT,Jodhpur,Urban,1264614,663600,601014,873192,500054,373138
